NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
FELIPE RIBEIRO,2023-11-25 16:34:55,34.3,1.4,-23.80241,-45.384266
FELIPE RIBEIRO,2023-11-25 16:34:56,34.3,1.4,-23.80241,-45.384266
FELIPE RIBEIRO,2023-11-25 16:37:06,46.1,2.1,-23.801788,-45.383345
FELIPE RIBEIRO,2023-11-25 16:40:56,54.5,5.4,-23.79909,-45.379476
FELIPE RIBEIRO,2023-11-25 17:07:23,12.9,4.9,-23.755148,-45.361395
FELIPE RIBEIRO,2023-11-25 17:13:15,10.7,3.6,-23.748343,-45.3596
FELIPE RIBEIRO,2023-11-25 17:13:24,9.4,3.5,-23.7482,-45.359573
FELIPE RIBEIRO,2023-11-25 17:14:14,6.0,2.3,-23.747631,-45.359493
FELIPE RIBEIRO,2023-11-25 17:14:24,10.0,2.0,-23.747545,-45.359478
FELIPE RIBEIRO,2023-11-25 19:46:27,85.6,0.0,-23.746956,-45.361576
FELIPE RIBEIRO,2023-11-26 01:22:27,73.6,0.0,-23.747481,-45.361365
FELIPE RIBEIRO,2023-11-26 03:10:27,21.8,0.0,-23.748643,-45.360133
FELIPE RIBEIRO,2023-11-26 05:58:27,237.0,0.0,-23.745113,-45.357551
FELIPE RIBEIRO,2023-11-26 12:46:26,122.5,0.0,-23.744941,-45.360885
FELIPE RIBEIRO,2023-11-26 13:46:27,101.2,0.0,-23.745645,-45.361185
FELIPE RIBEIRO,2023-11-26 14:46:27,96.3,0.0,-23.745935,-45.361425
FELIPE RIBEIRO,2023-11-26 17:28:23,95.8,0.0,-23.746256,-45.361486
FELIPE RIBEIRO,2023-11-26 18:01:26,5.4,0.1,-23.746563,-45.362065
FELIPE RIBEIRO,2023-11-26 21:07:27,54.1,0.0,-23.748023,-45.361426
FELIPE RIBEIRO,2023-11-27 01:34:27,39.4,0.0,-23.748478,-45.361296
FELIPE RIBEIRO,2023-11-27 03:22:27,21.3,0.0,-23.748648,-45.360703
FELIPE RIBEIRO,2023-11-27 05:46:25,22.0,0.0,-23.748745,-45.360725
FELIPE RIBEIRO,2023-11-27 05:52:26,22.3,0.0,-23.748785,-45.360688
FELIPE RIBEIRO,2023-11-27 16:25:27,24.7,0.0,-23.748875,-45.360268
